Gene	MutSig(Q-value)	# Mut	#	Profiled Samples	Freq	Is Cancer Gene (source: OncoKB)
TMEM208		1	1	515	0.2%	No
PARL		6	6	515	1.2%	No
N6AMT1		1	1	515	0.2%	No
DNAJC15		2	2	515	0.4%	No
DROSHA		4	4	515	0.8%	Yes
IGSF22		7	7	515	1.4%	No
NXF2B		5	5	515	1.0%	No
CTNNA3		11	11	515	2.1%	No
BRD7		1	1	515	0.2%	No
LRRC37B		16	15	515	2.9%	No
FYCO1		3	3	515	0.6%	No
LRRC2		1	1	515	0.2%	No
RPTN		5	5	515	1.0%	No
TBK1		3	3	515	0.6%	No
DCUN1D1		1	1	515	0.2%	Yes
TCHHL1		8	7	515	1.4%	No
BIRC7		3	3	515	0.6%	No
PAGR1		2	2	515	0.4%	No
SAP30BP		1	1	515	0.2%	No
WDR25		4	4	515	0.8%	No
TAGLN3		1	1	515	0.2%	No
C6ORF15		1	1	515	0.2%	No
POTEF		6	6	515	1.2%	No
OR52N1		6	6	515	1.2%	No
OR12D3		3	2	515	0.4%	No
GABPB2		1	1	515	0.2%	No
TLR10		5	5	515	1.0%	No
ADAMTS10		11	11	515	2.1%	No
SLCO5A1		11	11	515	2.1%	No
TRIM47		2	2	515	0.4%	No
ADAMTS12		25	22	515	4.3%	No
TRIM7		1	1	515	0.2%	No
NANS		2	2	515	0.4%	No
NUAK2		7	6	515	1.2%	No
FCRLB		5	4	515	0.8%	No
HARBI1		2	2	515	0.4%	No
STK35		3	3	515	0.6%	No
R3HDML		1	1	515	0.2%	No
KDF1		4	3	515	0.6%	No
LGALS16		2	2	515	0.4%	No
SGO1		1	1	515	0.2%	No
TAFA4		1	1	515	0.2%	No
HTR3D		5	5	515	1.0%	No
EFHB		5	5	515	1.0%	No
JPH1		8	8	515	1.6%	No
GOT1L1		1	1	515	0.2%	No
TICAM1		5	5	515	1.0%	No
SHE		1	1	515	0.2%	No
TDRD10		5	5	515	1.0%	No
TRMT44		2	2	515	0.4%	No
FBXO45		1	1	515	0.2%	No
OLFML1		3	3	515	0.6%	No
OR10A4		3	3	515	0.6%	No
ZNF786		4	4	515	0.8%	No
PTPDC1		5	5	515	1.0%	No
ESPL1		7	7	515	1.4%	No
PPP6R2		2	2	515	0.4%	No
VSIG8		2	2	515	0.4%	No
KLHDC8B		3	3	515	0.6%	No
MICOS10		1	1	515	0.2%	No
SLC2A4RG		1	1	515	0.2%	No
RUBCN		7	7	515	1.4%	No
USP6NL		7	7	515	1.4%	No
GABRR3		1	1	515	0.2%	No
GLOD5		1	1	515	0.2%	No
GARRE1		5	4	515	0.8%	No
MUC20		2	2	515	0.4%	No
PRAMEF6		2	2	515	0.4%	No
TTC14		5	5	515	1.0%	No
DHX34		6	6	515	1.2%	No
C4ORF45		3	3	515	0.6%	No
ST18		17	16	515	3.1%	No
CEP57		4	4	515	0.8%	No
KIAA0100		13	13	515	2.5%	No
PCDHGA8		8	7	515	1.4%	No
HERPUD1		4	4	515	0.8%	Yes
ULK2		2	2	515	0.4%	No
NOS1AP		3	3	515	0.6%	No
SEMA3E		10	10	515	1.9%	No
CCDC144A		4	4	515	0.8%	No
GPRIN2		5	5	515	1.0%	No
PPP1R14C		1	1	515	0.2%	No
NOXO1		1	1	515	0.2%	No
OR10K2		5	5	515	1.0%	No
DOCK8		10	10	515	1.9%	No
OR10K1		4	4	515	0.8%	No
NCBP3		1	1	515	0.2%	No
GPALPP1		1	1	515	0.2%	No
SIRPG		4	4	515	0.8%	No
BARHL1		2	2	515	0.4%	No
ZNF331		5	5	515	1.0%	Yes
FAM131B		1	1	515	0.2%	No
AQR		6	5	515	1.0%	No
SEC14L5		2	2	515	0.4%	No
ECE2		9	9	515	1.7%	No
DCAF1		6	5	515	1.0%	No
SART3		3	3	515	0.6%	No
SOX14		1	1	515	0.2%	No
HDAC9		16	16	515	3.1%	No
CEP104		6	6	515	1.2%	No
OR6Y1		1	1	515	0.2%	No
DOCK4		11	11	515	2.1%	No
SPATA33		1	1	515	0.2%	No
OR6K3		2	2	515	0.4%	No
SPATA2L		2	2	515	0.4%	No
RIPK4		13	12	515	2.3%	No
YOD1		4	4	515	0.8%	No
ADA		1	1	515	0.2%	No
ADAM8		4	4	515	0.8%	No
ADAM10		6	5	515	1.0%	No
DTX3L		2	2	515	0.4%	No
ADAR		6	6	515	1.2%	No
ADARB1		2	2	515	0.4%	No
AP1AR		2	2	515	0.4%	No
ADARB2		9	9	515	1.7%	No
GSAP		5	5	515	1.0%	No
CLIC6		3	3	515	0.6%	No
ADCY1		21	20	515	3.9%	No
ZNF646		17	16	515	3.1%	No
ADCY2		29	25	515	4.9%	No
RAB11FIP3		3	3	515	0.6%	No
CHRAC1		2	2	515	0.4%	No
ADCY3		7	7	515	1.4%	No
UTP14C		2	2	515	0.4%	No
TMEM63A		3	3	515	0.6%	No
TLR9		5	4	515	0.8%	No
STRADB		6	6	515	1.2%	No
SECISBP2L		7	7	515	1.4%	No
KIAA0408		3	3	515	0.6%	No
LAPTM4A		2	2	515	0.4%	No
ZCCHC18		2	2	515	0.4%	No
ACAP1		2	2	515	0.4%	No
ZNF536		29	29	515	5.6%	No
EEA1		11	10	515	1.9%	No
IFT140		8	8	515	1.6%	No
BCAR3		6	6	515	1.2%	No
ARHGAP32		7	7	515	1.4%	No
OR13C2		1	1	515	0.2%	No
PSG8		14	14	515	2.7%	No
FAM78B		2	2	515	0.4%	No
ADCY5		9	9	515	1.7%	No
ADCY6		6	6	515	1.2%	No
ADCY7		5	4	515	0.8%	No
ADCY8		28	28	515	5.4%	No
ADCY9		7	7	515	1.4%	No
ADCYAP1		3	3	515	0.6%	No
ADCYAP1R1		6	5	515	1.0%	No
ADD1		5	5	515	1.0%	No
SRPX		4	4	515	0.8%	No
GPRASP1		9	9	515	1.7%	No
ADD2		4	4	515	0.8%	No
CCP110		6	6	515	1.2%	No
SPARCL1		3	3	515	0.6%	No
KNTC1		13	13	515	2.5%	No
CCDC117		2	2	515	0.4%	No
SPOP		4	4	515	0.8%	Yes
USP34		27	24	515	4.7%	No
HSCB		3	3	515	0.6%	No
ULK1		6	6	515	1.2%	No
SETD1A		10	9	515	1.7%	Yes
UXT		2	2	515	0.4%	No
SNPH		7	7	515	1.4%	No
PCDHA9		11	11	515	2.1%	No
RIPOR2		7	5	515	1.0%	No
DUSP18		4	4	515	0.8%	No
BBOX1		1	1	515	0.2%	No
TBKBP1		3	3	515	0.6%	No
LTBP4		10	8	515	1.6%	No
TDRD5		8	8	515	1.6%	No
STARD8		2	2	515	0.4%	No
FRRS1		2	2	515	0.4%	No
ADD3		1	1	515	0.2%	No
TOR1AIP2		3	3	515	0.6%	No
PLIN2		3	3	515	0.6%	No
ADH1A		2	2	515	0.4%	No
ADH1B		1	1	515	0.2%	No
ADH1C		4	4	515	0.8%	No
ADH4		2	2	515	0.4%	No
ADH5		3	3	515	0.6%	No
STX7		3	3	515	0.6%	No
SLK		4	4	515	0.8%	No
PHACTR2		5	5	515	1.0%	No
CLSTN3		4	4	515	0.8%	No
TCAF1		4	4	515	0.8%	No
BFSP2		4	4	515	0.8%	No
OR5C1		4	4	515	0.8%	No
OR1L6		3	3	515	0.6%	No
NR0B2		1	1	515	0.2%	No
LZTS3		4	4	515	0.8%	No
NR2E1		8	8	515	1.6%	No
TOX		4	4	515	0.8%	No
TLR5		4	4	515	0.8%	No
MLEC		1	1	515	0.2%	No
TSPAN8		3	3	515	0.6%	No
SOAT2		2	2	515	0.4%	No
SUSD6		3	3	515	0.6%	No
TSPAN7		1	1	515	0.2%	No
CAVIN2		4	4	515	0.8%	No
JADE3		7	7	515	1.4%	No
TSPAN6		1	1	515	0.2%	No
KIAA0513		2	2	515	0.4%	No
TM4SF4		2	2	515	0.4%	No
RECK		10	10	515	1.9%	No
ZFYVE16		10	10	515	1.9%	No
ADH6		1	1	515	0.2%	No
ADH7		2	2	515	0.4%	No
ADK		2	2	515	0.4%	No
PRAMEF11		8	8	515	1.6%	No
ADM		1	1	515	0.2%	No
ADORA1		3	3	515	0.6%	No
ADORA2A		3	3	515	0.6%	No
ADORA2B		1	1	515	0.2%	No
STK24		1	1	515	0.2%	No
HDAC4		11	10	515	1.9%	Yes
KMT2B		25	22	515	4.3%	Yes
C22ORF42		4	4	515	0.8%	No
ZNF282		5	5	515	1.0%	No
FRMPD4		8	8	515	1.6%	No
TMF1		4	4	515	0.8%	No
GNPAT		5	5	515	1.0%	No
BCLAF1		17	16	515	3.1%	No
TMPO		4	4	515	0.8%	No
NCK2		7	6	515	1.2%	No
RAPGEF5		2	2	515	0.4%	No
TMOD1		2	2	515	0.4%	No
TMEM94		7	7	515	1.4%	No
DUSP11		1	1	515	0.2%	No
TM9SF4		3	3	515	0.6%	No
TMPRSS2		3	3	515	0.6%	Yes
KIAA0232		7	7	515	1.4%	No
DYRK3		2	2	515	0.4%	No
EIF4A3		3	3	515	0.6%	No
DYRK2		3	3	515	0.6%	No
ATG13		4	4	515	0.8%	No
ADORA3		3	3	515	0.6%	No
RASSF2		4	4	515	0.8%	No
ADPRH		2	2	515	0.4%	No
PRAMEF7		1	1	515	0.2%	No
PARP1		3	3	515	0.6%	Yes
INTS4P1		1	1	515	0.2%	No
PARP4		10	10	515	1.9%	No
ANKFN1		5	5	515	1.0%	No
ADRA1D		2	2	515	0.4%	No
ADRA1B		3	3	515	0.6%	No
ADRA1A		4	4	515	0.8%	No
GPR137B		1	1	515	0.2%	No
NSMAF		8	7	515	1.4%	No
TSPAN4		1	1	515	0.2%	No
TRAPPC10		2	2	515	0.4%	No
RASAL1		5	5	515	1.0%	No
PCLAF		3	3	515	0.6%	No
TM7SF2		2	2	515	0.4%	No
RAD54L		5	5	515	1.0%	Yes
CUL2		3	3	515	0.6%	No
SNX17		3	3	515	0.6%	No
CUL1		12	11	515	2.1%	No
DHX38		4	4	515	0.8%	No
CUL4A		2	2	515	0.4%	Yes
MATR3		4	4	515	0.8%	No
CLDN5		1	1	515	0.2%	No
CUL3		17	17	515	3.3%	Yes
RIMS3		4	4	515	0.8%	No
TNNC2		1	1	515	0.2%	No
MTSS1		4	4	515	0.8%	No
TTF2		6	6	515	1.2%	No
TNFAIP2		1	1	515	0.2%	No
ATRN		12	12	515	2.3%	No
KIAA0586		9	9	515	1.7%	No
TNFAIP1		4	4	515	0.8%	No
DLGAP5		3	3	515	0.6%	No
RASGEF1A		4	4	515	0.8%	Yes
ADRA2B		3	3	515	0.6%	No
CUL4B		7	7	515	1.4%	No
RNF144A		3	3	515	0.6%	No
ADRA2C		2	2	515	0.4%	No
ADRB1		3	3	515	0.6%	No
ADRB3		2	2	515	0.4%	No
GRK2		7	7	515	1.4%	No
GRK3		5	5	515	1.0%	No
ADSL		4	3	515	0.6%	No
ADSS2		4	4	515	0.8%	No
DOC2A		2	2	515	0.4%	No
TBC1D5		3	3	515	0.6%	No
DHX16		9	8	515	1.6%	No
TNFRSF1A		2	2	515	0.4%	No
SUPT3H		7	7	515	1.4%	No
KLF11		3	3	515	0.6%	No
CKAP5		10	10	515	1.9%	No
TNFRSF1B		2	2	515	0.4%	No
TEAD2		3	3	515	0.6%	No
MAML1		8	7	515	1.4%	No
TNNI2		4	3	515	0.6%	No
FKBP6		2	2	515	0.4%	No
TNNI1		2	2	515	0.4%	No
TNNT1		2	2	515	0.4%	No
TATDN2		2	2	515	0.4%	No
TNNI3		1	1	515	0.2%	No
SMARCA5		2	2	515	0.4%	No
IST1		1	1	515	0.2%	No
FMN1		6	6	515	1.2%	No
AP2A1		4	4	515	0.8%	No
AP2A2		5	5	515	1.0%	No
PTDSS1		6	6	515	1.2%	No
AP1B1		4	4	515	0.8%	No
SERTAD2		2	2	515	0.4%	No
AP2B1		6	6	515	1.2%	No
TNFAIP6		5	5	515	1.0%	No
AP1G1		10	10	515	1.9%	No
BMS1		7	7	515	1.4%	No
AEBP1		7	7	515	1.4%	No
TLE5		1	1	515	0.2%	No
CRISP1		3	3	515	0.6%	No
C22ORF15		1	1	515	0.2%	No
TNFAIP3		7	6	515	1.2%	Yes
TPST2		3	3	515	0.6%	No
TNR		20	18	515	3.5%	No
TNP2		1	1	515	0.2%	No
CDC42BPA		7	7	515	1.4%	No
OR1K1		1	1	515	0.2%	No
TNS1		8	8	515	1.6%	No
OGT		4	4	515	0.8%	No
ZNF724		6	6	515	1.2%	No
HIRIP3		6	6	515	1.2%	No
GPR65		1	1	515	0.2%	No
ZNF506		3	3	515	0.6%	No
TNXB		18	17	515	3.3%	No
IRS4		15	13	515	2.5%	Yes
AFM		4	4	515	0.8%	No
TNNT3		2	2	515	0.4%	No
SORBS2		9	8	515	1.6%	No
ACAN		13	13	515	2.5%	No
AGER		4	2	515	0.4%	No
AGL		6	5	515	1.0%	No
TNNT2		3	3	515	0.6%	No
TOP2A		6	6	515	1.2%	No
GEMIN2		1	1	515	0.2%	No
TOP3A		4	4	515	0.8%	No
GALR3		2	2	515	0.4%	No
TOP2B		4	4	515	0.8%	No
TP53BP1		15	15	515	2.9%	Yes
TP53		436	357	515	69.3%	Yes
ZFP1		3	3	515	0.6%	No
TP53BP2		7	6	515	1.2%	No
PLIN5		2	2	515	0.4%	No
AGRP		1	1	515	0.2%	No
JAG1		9	9	515	1.7%	No
AGT		4	4	515	0.8%	No
TOP1		1	1	515	0.2%	Yes
SEMA7A		4	3	515	0.6%	No
CILP		13	13	515	2.5%	No
AGTR1		11	11	515	2.1%	No
RAE1		2	2	515	0.4%	No
AGTR2		2	2	515	0.4%	No
OFD1		8	8	515	1.6%	No
APLNR		2	2	515	0.4%	Yes
AGXT		3	3	515	0.6%	No
TPD52L2		3	3	515	0.6%	No
PPFIA4		12	12	515	2.3%	No
GORAB		3	3	515	0.6%	No
TPD52L1		1	1	515	0.2%	No
NAF1		5	5	515	1.0%	No
TPI1		4	4	515	0.8%	No
PPFIBP2		5	5	515	1.0%	No
METTL18		1	1	515	0.2%	No
TPH1		3	3	515	0.6%	No
PPFIBP1		12	8	515	1.6%	Yes
CERS5		2	2	515	0.4%	No
TPM2		2	2	515	0.4%	No
TPM1		2	2	515	0.4%	No
PPFIA2		28	28	515	5.4%	No
C1ORF105		2	2	515	0.4%	No
NR0B1		4	4	515	0.8%	No
AHCY		1	1	515	0.2%	No
RGS5		3	3	515	0.6%	No
BCL2L14		2	2	515	0.4%	No
TP73		2	2	515	0.4%	No
PPM1D		7	6	515	1.2%	Yes
FMNL3		7	7	515	1.4%	No
AHR		4	4	515	0.8%	No
TPD52		4	4	515	0.8%	No
MAP4K3		6	5	515	1.0%	No
AHSG		3	3	515	0.6%	No
TPBG		1	1	515	0.2%	No
PRSS12		2	2	515	0.4%	No
CEACAM18		9	9	515	1.7%	No
ANKRD34A		3	2	515	0.4%	No
OR5V1		5	5	515	1.0%	No
SYPL2		2	2	515	0.4%	No
OR2B2		4	3	515	0.6%	No
FAM102B		3	3	515	0.6%	No
AMN		1	1	515	0.2%	No
TPR		12	12	515	2.3%	Yes
CADPS2		14	14	515	2.7%	No
TPT1		1	1	515	0.2%	No
ARHGAP18		4	4	515	0.8%	No
TPSAB1		2	2	515	0.4%	No
TPTE		25	22	515	4.3%	No
STRADA		7	6	515	1.2%	No
BARHL2		5	5	515	1.0%	No
REEP3		1	1	515	0.2%	No
JMJD1C		23	23	515	4.5%	No
TCAF2		2	2	515	0.4%	No
TPMT		1	1	515	0.2%	No
CAPZA3		3	3	515	0.6%	No
TPM4		1	1	515	0.2%	Yes
TPP2		6	6	515	1.2%	No
TSPEAR		4	4	515	0.8%	No
ZXDC		3	3	515	0.6%	No
TPO		13	13	515	2.5%	No
CPLANE2		1	1	515	0.2%	No
HMGN5		1	1	515	0.2%	No
BHLHE41		2	2	515	0.4%	No
C6ORF62		3	3	515	0.6%	No
FCRL2		3	3	515	0.6%	No
RNF39		4	4	515	0.8%	No
B3GNT4		1	1	515	0.2%	No
UCMA		1	1	515	0.2%	No
CGB5		1	1	515	0.2%	No
TNKS2		6	6	515	1.2%	No
TRAF3		7	7	515	1.4%	Yes
TRAF2		1	1	515	0.2%	Yes
TRAF6		3	3	515	0.6%	No
TRAF5		1	1	515	0.2%	Yes
DPP9		5	5	515	1.0%	No
ZNF775		2	2	515	0.4%	No
ZNF774		1	1	515	0.2%	No
SPSB4		2	2	515	0.4%	No
CRISP2		3	3	515	0.6%	No
FAM3B		3	3	515	0.6%	No
NR2C2		1	1	515	0.2%	No
STAC3		3	3	515	0.6%	No
HSP90B1		6	6	515	1.2%	No
OPN1MW2		1	1	515	0.2%	No
SLC39A12		16	16	515	3.1%	No
TMC3		7	7	515	1.4%	No
CD276		3	3	515	0.6%	Yes
ZNF860		4	4	515	0.8%	No
CRB3		2	2	515	0.4%	No
KCNT2		28	27	515	5.2%	No
HRCT1		1	1	515	0.2%	No
BEND7		3	3	515	0.6%	No
ZNF789		5	5	515	1.0%	No
RPP38-DT		2	2	515	0.4%	No
FAM171A1		4	4	515	0.8%	No
CCDC34		4	4	515	0.8%	No
AP5B1		3	3	515	0.6%	No
CCDC149		2	2	515	0.4%	No
CATSPERE		4	4	515	0.8%	No
HNRNPUL2		7	7	515	1.4%	No
EPHA10		10	9	515	1.7%	No
RSPO1		2	2	515	0.4%	No
LRRN4CL		1	1	515	0.2%	No
CTHRC1		1	1	515	0.2%	No
ARL5B		3	3	515	0.6%	No
NSUN6		3	3	515	0.6%	No
CD163L1		15	15	515	2.9%	No
OTOGL		27	23	515	4.5%	No
GPR149		10	10	515	1.9%	No
AADACL2		1	1	515	0.2%	No
ZNF878		5	5	515	1.0%	No
ANKRD30A		24	20	515	3.9%	No
FRMD3		4	4	515	0.8%	No
FCRL6		2	2	515	0.4%	No
MRRF		3	3	515	0.6%	No
OR10R2		3	3	515	0.6%	No
MYL12B		1	1	515	0.2%	No
ST6GALNAC5		4	4	515	0.8%	No
MDM1		3	3	515	0.6%	No
LGALS14		1	1	515	0.2%	No
SBF2		14	13	515	2.5%	No
RNF146		2	2	515	0.4%	No
SPRY4		2	2	515	0.4%	No
DPYSL5		7	7	515	1.4%	No
WRNIP1		1	1	515	0.2%	No
TMEM14B		1	1	515	0.2%	No
BDH2		2	2	515	0.4%	No
CDC42BPG		4	4	515	0.8%	No
ANKS1B		14	13	515	2.5%	No
GALNT10		5	4	515	0.8%	No
TCIM		1	1	515	0.2%	No
DNAH3		20	19	515	3.7%	No
UBQLN4		4	4	515	0.8%	No
OR10AD1		3	3	515	0.6%	No
AGPAT3		3	3	515	0.6%	No
KRTAP1-3		2	2	515	0.4%	No
TPH2		6	6	515	1.2%	No
ZNF821		2	2	515	0.4%	No
AGPAT4		5	5	515	1.0%	No
ZNF641		6	6	515	1.2%	No
CNOT11		2	2	515	0.4%	No
SERPINA12		3	3	515	0.6%	No
GSC		3	2	515	0.4%	No
RHEBL1		2	2	515	0.4%	No
TRIM56		4	4	515	0.8%	No
SUPT20H		6	6	515	1.2%	No
STAB2		20	19	515	3.7%	No
DDTL		1	1	515	0.2%	No
SPECC1		9	9	515	1.7%	No
CDRT1		1	1	515	0.2%	No
SLC15A4		3	3	515	0.6%	No
PRIMA1		6	5	515	1.0%	No
KIF27		12	11	515	2.1%	No
MIOX		4	4	515	0.8%	No
UBE2Q1		5	5	515	1.0%	No
ISG20L2		1	1	515	0.2%	No
CHRNA9		3	3	515	0.6%	No
RAB1B		3	3	515	0.6%	No
KRTAP9-9		1	1	515	0.2%	No
BMP2K		5	5	515	1.0%	No
KRTAP4-6		2	2	515	0.4%	No
MED29		3	3	515	0.6%	No
TMEM132D		33	27	515	5.2%	No
PTCRA		3	3	515	0.6%	No
ILDR2		2	2	515	0.4%	No
NDUFS7		2	2	515	0.4%	No
MIPOL1		2	2	515	0.4%	No
OTUD5		3	3	515	0.6%	No
ZNF611		4	4	515	0.8%	No
DIPK2A		1	1	515	0.2%	No
MED25		5	5	515	1.0%	No
VEZT		6	6	515	1.2%	No
ZCCHC8		5	5	515	1.0%	No
OR2A4		1	1	515	0.2%	No
OR4K1		10	8	515	1.6%	No
ZXDB		5	5	515	1.0%	No
FAAH2		6	5	515	1.0%	No
FMR1NB		4	4	515	0.8%	No
C5ORF24		1	1	515	0.2%	No
TMEM270		1	1	515	0.2%	No
KASH5		4	4	515	0.8%	No
GCC1		7	7	515	1.4%	No
NKAIN1		1	1	515	0.2%	No
ZNF785		2	2	515	0.4%	No
TTC13		7	7	515	1.4%	No
ATP13A3		13	12	515	2.3%	No
ABHD8		5	4	515	0.8%	No
EPS8L3		3	3	515	0.6%	No
CDC73		1	1	515	0.2%	Yes
NKAP		6	6	515	1.2%	No
QTRT1		3	3	515	0.6%	No
TRIM50		1	1	515	0.2%	No
LAS1L		1	1	515	0.2%	No
HYI		1	1	515	0.2%	No
RIPOR1		3	3	515	0.6%	No
PRSS36		5	4	515	0.8%	No
ARMH3		4	3	515	0.6%	No
ST8SIA6		4	4	515	0.8%	No
MRPL24		2	2	515	0.4%	No
DNAAF8		4	4	515	0.8%	No
DUSP29		3	3	515	0.6%	No
SAP130		3	3	515	0.6%	No
TMEM64		3	2	515	0.4%	No
C16ORF89		3	3	515	0.6%	No
OBI1		5	5	515	1.0%	No
CEP97		3	3	515	0.6%	No
RDH12		4	4	515	0.8%	No
ATXN3L		1	1	515	0.2%	No
DGKH		5	5	515	1.0%	No
GGTLC2		1	1	515	0.2%	No
BICDL1		3	3	515	0.6%	No
SPAG16		5	5	515	1.0%	No
SLC52A2		3	3	515	0.6%	No
TMEM231		3	3	515	0.6%	No
CHPF		7	6	515	1.2%	No
CORO7		1	1	515	0.2%	No
CARS2		1	1	515	0.2%	No
RNF128		3	3	515	0.6%	No
SRRM5		1	1	515	0.2%	No
PCSK9		5	4	515	0.8%	No
GADL1		1	1	515	0.2%	No
KCNK18		4	4	515	0.8%	No
NPNT		1	1	515	0.2%	No
ZC3HAV1		5	5	515	1.0%	No
GDF5-AS1		1	1	515	0.2%	No
FBXO48		1	1	515	0.2%	No
FFAR4		1	1	515	0.2%	No
IFNK		1	1	515	0.2%	No
SLAMF8		1	1	515	0.2%	No
HES6		2	2	515	0.4%	No
CHST12		5	5	515	1.0%	No
ETNK1		1	1	515	0.2%	Yes
MACROH2A2		1	1	515	0.2%	No
TNFRSF19		4	4	515	0.8%	No
TRPV6		7	7	515	1.4%	No
GPR137		3	3	515	0.6%	No
SLC35E3		1	1	515	0.2%	No
GPRC5D		1	1	515	0.2%	No
RNF40		7	7	515	1.4%	No
CTIF		6	6	515	1.2%	No
ASPDH		1	1	515	0.2%	No
SMPD3		2	2	515	0.4%	No
SAGE1		2	2	515	0.4%	No
DDX43		7	7	515	1.4%	No
TCEAL7		2	2	515	0.4%	No
TOMM20		1	1	515	0.2%	No
MRPL19		1	1	515	0.2%	No
ASIC4		3	3	515	0.6%	No
DAZAP2		3	3	515	0.6%	No
SCRN1		2	2	515	0.4%	No
OR52B2		3	3	515	0.6%	No
SPOCK2		2	2	515	0.4%	No
SPHK2		3	3	515	0.6%	No
RB1CC1		8	8	515	1.6%	No
CUL7		7	6	515	1.2%	No
ELAC1		3	3	515	0.6%	No
RAD18		4	4	515	0.8%	No
CELF4		2	2	515	0.4%	No
GRIPAP1		4	3	515	0.6%	No
TRIM36		8	8	515	1.6%	No
EMC7		3	3	515	0.6%	No
SFI1		11	11	515	2.1%	No
GIT2		5	5	515	1.0%	No
FEM1A		2	2	515	0.4%	No
MYZAP		2	2	515	0.4%	No
DELE1		2	2	515	0.4%	No
DHTKD1		2	2	515	0.4%	No
EFCAB14		3	3	515	0.6%	No
NUP58		5	4	515	0.8%	No
TSC22D2		3	3	515	0.6%	No
URB2		7	6	515	1.2%	No
PRAG1		11	11	515	2.1%	No
KEAP1		24	21	515	4.1%	Yes
PIP4P2		4	3	515	0.6%	No
SLC43A1		3	3	515	0.6%	No
JAKMIP2		6	5	515	1.0%	No
PKP4		10	10	515	1.9%	No
TRIM14		4	4	515	0.8%	No
PPFIA1		6	6	515	1.2%	No
ZNF623		7	6	515	1.2%	No
KY		5	5	515	1.0%	No
SVOP		2	2	515	0.4%	No
CRYBG1		13	12	515	2.3%	No
AK1		1	1	515	0.2%	No
MAML3		2	2	515	0.4%	No
AK2		1	1	515	0.2%	No
AK4		3	3	515	0.6%	No
SLC30A10		7	7	515	1.4%	No
POLR3H		2	2	515	0.4%	No
SPATA2		3	3	515	0.6%	No
AKT1		2	2	515	0.4%	Yes
ARHGEF11		5	5	515	1.0%	No
KCNK10		3	3	515	0.6%	No
AKT2		3	3	515	0.6%	Yes
ARMCX2		7	7	515	1.4%	No
ERRFI1		2	2	515	0.4%	Yes
ARHGAP11A		6	6	515	1.2%	No
CDCA7L		7	7	515	1.4%	No
DNAJC6		6	6	515	1.2%	No
ERCC6-PGBD3		2	2	515	0.4%	No
RGP1		5	5	515	1.0%	No
ARHGEF17		16	14	515	2.7%	No
ADCY4		8	8	515	1.6%	No
TESPA1		6	4	515	0.8%	No
HEPH		18	17	515	3.3%	No
LIPF		1	1	515	0.2%	No
ELMO1		16	14	515	2.7%	No
ZBTB24		7	7	515	1.4%	No
PLEKHM1		5	4	515	0.8%	No
IHO1		5	5	515	1.0%	No
ALAD		2	2	515	0.4%	No
TREM1		3	3	515	0.6%	No
NETO2		3	3	515	0.6%	No
ALAS1		1	1	515	0.2%	No
IL17RB		4	4	515	0.8%	No
NETO1		8	8	515	1.6%	No
ALAS2		4	4	515	0.8%	No
SPACA1		2	2	515	0.4%	No
ALB		13	10	515	1.9%	Yes
ALCAM		7	7	515	1.4%	No
ABCD1		3	3	515	0.6%	No
RBM38		4	4	515	0.8%	No
ALDH1A1		1	1	515	0.2%	No
SNTG1		12	11	515	2.1%	No
ALDH2		1	1	515	0.2%	No
LCMT2		5	4	515	0.8%	No
ZCCHC12		5	5	515	1.0%	No
ALDH3A1		1	1	515	0.2%	No
CNTNAP1		11	11	515	2.1%	No
GINS1		1	1	515	0.2%	No
ALDH1B1		4	4	515	0.8%	No
PIK3R3		2	2	515	0.4%	Yes
PEX3		4	4	515	0.8%	No
NDST2		2	2	515	0.4%	No
SLC41A1		3	3	515	0.6%	No
PROSER2		4	3	515	0.6%	No
ENC1		2	2	515	0.4%	No
NIPSNAP1		2	2	515	0.4%	No
ZEB2		9	9	515	1.7%	No
HAT1		1	1	515	0.2%	No
KIAA0753		5	5	515	1.0%	No
C2CD2L		1	1	515	0.2%	No
FARP2		4	4	515	0.8%	No
GCM1		8	8	515	1.6%	No
EPM2AIP1		6	6	515	1.2%	No
ZNF596		4	4	515	0.8%	No
GAS7		4	4	515	0.8%	Yes
RUSC2		9	8	515	1.6%	No
ALDH1A3		1	1	515	0.2%	No
SOX6		4	4	515	0.8%	No
ALDH3B1		2	2	515	0.4%	No
SNTG2		8	8	515	1.6%	No
ZNF823		3	3	515	0.6%	No
UGGT1		6	5	515	1.0%	No
ALDH3B2		4	4	515	0.8%	No
ALDH9A1		4	4	515	0.8%	No
ABHD3		2	2	515	0.4%	No
ALDH3A2		2	2	515	0.4%	No
ABCD2		3	3	515	0.6%	No
ENOSF1		5	5	515	1.0%	No
ALDOA		1	1	515	0.2%	No
CCDC39		8	8	515	1.6%	No
KLK15		3	3	515	0.6%	No
FSTL5		24	22	515	4.3%	No
PDZD9		2	2	515	0.4%	No
ITGA8		21	20	515	3.9%	No
C2CD5		10	10	515	1.9%	No
ALDOB		4	4	515	0.8%	No
HAUS7		1	1	515	0.2%	No
ITGA10		9	9	515	1.7%	No
GAB2		4	4	515	0.8%	Yes
PLXNA3		15	14	515	2.7%	No
DNAAF3		4	4	515	0.8%	No
TM9SF3		8	7	515	1.4%	No
ELP1		5	5	515	1.0%	No
CST7		1	1	515	0.2%	No
RAB37		4	4	515	0.8%	No
MED24		5	5	515	1.0%	No
TRH		3	3	515	0.6%	No
